id,category_id,supplier_id,name,sku,price,cost,description,attributes,is_active
15,13,108,Pro Electronics Design,AHX-42-00015,1470.52,1086.99,High quality pro electronics design from Quant.,"{""brand"": ""Quant"", ""color"": ""Green"", ""weight_kg"": 2.87, ""warranty_years"": 5}",True
16,4,123,Deluxe Sports National,SOX-42-00016,395.42,238.17,High quality deluxe sports national from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Wool"", ""weight_kg"": 11.56}",True
17,26,21,Premium Toys Whatever,BGX-42-00017,42.44,21.71,High quality premium toys whatever from PlayTime.,"{""brand"": ""PlayTime"", ""weight_g"": 750}",True
18,6,113,Premium Books Strong,BXY-42-00018,19.59,8.35,High quality premium books strong from OReilly.,"{""brand"": ""OReilly"", ""weight_g"": 1266}",True
19,20,98,Eco Home Herself,BBX-42-00019,568.04,312.97,High quality eco home herself from DecoHome.,"{""brand"": ""DecoHome"", ""material"": ""Wood"", ""weight_kg"": 4.35}",True
20,4,97,Eco Sports Important,SOX-42-00020,106.75,49.8,High quality eco sports important from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Metal"", ""weight_kg"": 7.79}",True
21,4,39,Pro Sports Manager,SOX-42-00021,199.49,118.17,High quality pro sports manager from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Cotton"", ""weight_kg"": 9.34}",True
22,14,56,Smart Electronics Whose,SHD-42-00022,603.21,381.05,High quality smart electronics whose from Quant.,"{""brand"": ""Quant"", ""color"": ""Gray"", ""weight_kg"": 0.87, ""warranty_years"": 2}",True
23,6,74,Premium Books Look,BXY-42-00023,78.35,44.33,High quality premium books look from OReilly.,"{""brand"": ""OReilly"", ""weight_g"": 864}",True
24,16,120,Eco Apparel Upon,FXY-42-00024,180.03,88.71,High quality eco apparel upon from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Green"", ""size"": ""S"", ""material"": ""Plastic""}",True
25,29,116,Classic Grocery Any,BXY-42-00025,19.73,10.97,High quality classic grocery any from SweetTreats.,"{""brand"": ""SweetTreats"", ""organic"": false, ""expiration_days"": 144}",True
26,8,69,Eco Automotive Among,AXY-42-00026,171.45,77.65,High quality eco automotive among from AutoPro.,"{""brand"": ""AutoPro"", ""weight_g"": 225}",True
27,22,99,Deluxe Sports Range,ORX-42-00027,405.05,220.71,High quality deluxe sports range from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Cotton"", ""weight_kg"": 21.1}",True
28,27,154,Deluxe Toys Game,AFD-42-00028,56.05,32.93,High quality deluxe toys game from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 1222}",True
29,29,45,Deluxe Grocery Board,BXY-42-00029,24.86,10.63,High quality deluxe grocery board from OrganicWay.,"{""brand"": ""OrganicWay"", ""organic"": true, ""expiration_days"": 71}",True
30,25,81,Ultra Beauty Score,SCX-42-00030,30.07,22.39,High quality ultra beauty score from SilkSkin.,"{""brand"": ""SilkSkin"", ""weight_g"": 308}",True
31,2,114,Ultra Apparel Near,AXY-42-00031,24.89,15.91,High quality ultra apparel near from Vogue.,"{""brand"": ""Vogue"", ""color"": ""Navy"", ""size"": ""M"", ""material"": ""Plastic""}",True
32,30,10,Smart Grocery Property,SSX-42-00032,6.18,3.68,High quality smart grocery property from NatureDrop.,"{""brand"": ""NatureDrop"", ""organic"": false, ""expiration_days"": 276}",True
33,15,9,Smart Apparel Themselves,FXY-42-00033,159.44,98.55,High quality smart apparel themselves from DenimCo.,"{""brand"": ""DenimCo"", ""color"": ""White"", ""size"": ""L"", ""material"": ""Wool""}",True
34,5,127,Premium Beauty Eye,BPC-42-00034,90.25,60.06,High quality premium beauty eye from GlowUp.,"{""brand"": ""GlowUp"", ""weight_g"": 1202}",True
35,25,15,Classic Beauty They,SCX-42-00035,118.93,83.68,High quality classic beauty they from LuxeHair.,"{""brand"": ""LuxeHair"", ""weight_g"": 590}",True
36,13,137,Premium Electronics Site,AHX-42-00036,981.46,601.77,High quality premium electronics site from Sonyx.,"{""brand"": ""Sonyx"", ""color"": ""Red"", ""weight_kg"": 3.28, ""warranty_years"": 5}",True
37,2,111,Ultra Apparel Everyone,AXY-42-00037,179.02,92.38,High quality ultra apparel everyone from ThreadWear.,"{""brand"": ""ThreadWear"", ""color"": ""Yellow"", ""size"": ""M"", ""material"": ""Plastic""}",True
38,1,93,Classic Electronics Particular,EXY-42-00038,1638.42,829.15,High quality classic electronics particular from Quant.,"{""brand"": ""Quant"", ""color"": ""White"", ""weight_kg"": 7.78, ""warranty_years"": 2}",True
39,5,53,Deluxe Beauty Off,BPC-42-00039,146.26,81.19,High quality deluxe beauty off from HerbEssentials.,"{""brand"": ""HerbEssentials"", ""weight_g"": 601}",True
40,24,80,Pro Beauty Over,MCX-42-00040,92.72,39.99,High quality pro beauty over from SilkSkin.,"{""brand"": ""SilkSkin"", ""weight_g"": 883}",True
41,24,81,Deluxe Beauty Contain,MCX-42-00041,115.13,81.0,High quality deluxe beauty contain from GlowUp.,"{""brand"": ""GlowUp"", ""weight_g"": 1105}",True
42,26,26,Pro Toys However,BGX-42-00042,17.22,11.16,High quality pro toys however from BrickBuilder.,"{""brand"": ""BrickBuilder"", ""weight_g"": 1123}",True
43,29,171,Deluxe Grocery Ready,BXY-42-00043,3.39,1.58,High quality deluxe grocery ready from TastyBites.,"{""brand"": ""TastyBites"", ""organic"": true, ""expiration_days"": 137}",True
44,2,117,Ultra Apparel Human,AXY-42-00044,19.61,10.32,High quality ultra apparel human from ActiveFit.,"{""brand"": ""ActiveFit"", ""color"": ""Blue"", ""size"": ""L"", ""material"": ""Wood""}",True
45,21,66,Pro Sports History,FGX-42-00045,342.18,165.85,High quality pro sports history from AquaFlow.,"{""brand"": ""AquaFlow"", ""material"": ""Wool"", ""weight_kg"": 24.03}",True
46,16,153,Deluxe Apparel People,FXY-42-00046,114.75,59.73,High quality deluxe apparel people from ActiveFit.,"{""brand"": ""ActiveFit"", ""color"": ""White"", ""size"": ""M"", ""material"": ""Cotton""}",True
47,13,8,Ultra Electronics Ready,AHX-42-00047,342.56,205.64,High quality ultra electronics ready from Sonyx.,"{""brand"": ""Sonyx"", ""color"": ""Gray"", ""weight_kg"": 5.45, ""warranty_years"": 3}",True
48,21,118,Deluxe Sports Water,FGX-42-00048,259.07,182.03,High quality deluxe sports water from PeakGear.,"{""brand"": ""PeakGear"", ""material"": ""Glass"", ""weight_kg"": 22.83}",True
49,21,72,Classic Sports Thing,FGX-42-00049,302.57,121.92,High quality classic sports thing from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Metal"", ""weight_kg"": 10.88}",True
50,13,158,Pro Electronics Bank,AHX-42-00050,710.44,346.84,High quality pro electronics bank from Volt.,"{""brand"": ""Volt"", ""color"": ""Pink"", ""weight_kg"": 6.61, ""warranty_years"": 5}",True
51,19,19,Deluxe Home Nation,FXY-42-00051,20.77,15.57,High quality deluxe home nation from CozyLiving.,"{""brand"": ""CozyLiving"", ""material"": ""Metal"", ""weight_kg"": 7.81}",True
52,4,123,Eco Sports Enter,SOX-42-00052,36.6,27.3,High quality eco sports enter from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Metal"", ""weight_kg"": 6.9}",True
53,23,166,Deluxe Sports However,CBX-42-00053,152.9,69.18,High quality deluxe sports however from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Cotton"", ""weight_kg"": 20.23}",True
54,26,169,Ultra Toys Whatever,BGX-42-00054,54.45,27.87,High quality ultra toys whatever from PlayTime.,"{""brand"": ""PlayTime"", ""weight_g"": 1392}",True
55,16,85,Pro Apparel Dog,FXY-42-00055,59.29,32.4,High quality pro apparel dog from ThreadWear.,"{""brand"": ""ThreadWear"", ""color"": ""Navy"", ""size"": ""XXL"", ""material"": ""Leather""}",True
56,11,139,Eco Electronics Name,SXY-42-00056,1432.47,917.08,High quality eco electronics name from Quant.,"{""brand"": ""Quant"", ""color"": ""Blue"", ""weight_kg"": 4.11, ""warranty_years"": 2}",True
57,27,173,Premium Toys Into,AFD-42-00057,106.41,49.31,High quality premium toys into from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 312}",True
58,24,53,Ultra Beauty Head,MCX-42-00058,110.15,65.61,High quality ultra beauty head from HerbEssentials.,"{""brand"": ""HerbEssentials"", ""weight_g"": 1390}",True
59,3,48,Classic Home Technology,HKX-42-00059,293.9,194.11,High quality classic home technology from ChefChoice.,"{""brand"": ""ChefChoice"", ""material"": ""Plastic"", ""weight_kg"": 9.61}",True
60,19,54,Premium Home Trip,FXY-42-00060,379.05,167.25,High quality premium home trip from KitchenAid.,"{""brand"": ""KitchenAid"", ""material"": ""Glass"", ""weight_kg"": 22.29}",True
61,17,27,Classic Apparel Hair,FSX-42-00061,174.82,93.28,High quality classic apparel hair from DenimCo.,"{""brand"": ""DenimCo"", ""color"": ""Black"", ""size"": ""S"", ""material"": ""Wool""}",True
62,7,96,Pro Toys Message,TGX-42-00062,55.01,32.97,High quality pro toys message from BrickBuilder.,"{""brand"": ""BrickBuilder"", ""weight_g"": 697}",True
63,28,44,Eco Automotive Structure,CCX-42-00063,234.79,133.98,High quality eco automotive structure from DriveClean.,"{""brand"": ""DriveClean"", ""weight_g"": 691}",True
64,21,39,Deluxe Sports Meet,FGX-42-00064,7.33,3.63,High quality deluxe sports meet from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Wool"", ""weight_kg"": 12.49}",True
65,25,189,Eco Beauty Very,SCX-42-00065,17.77,10.93,High quality eco beauty very from LuxeHair.,"{""brand"": ""LuxeHair"", ""weight_g"": 876}",True
66,14,108,Ultra Electronics Pm,SHD-42-00066,778.97,321.87,High quality ultra electronics pm from AudioMax.,"{""brand"": ""AudioMax"", ""color"": ""Blue"", ""weight_kg"": 7.61, ""warranty_years"": 3}",True
67,25,199,Premium Beauty According,SCX-42-00067,82.0,33.31,High quality premium beauty according from SilkSkin.,"{""brand"": ""SilkSkin"", ""weight_g"": 513}",True
68,23,99,Smart Sports More,CBX-42-00068,159.49,69.53,High quality smart sports more from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Wool"", ""weight_kg"": 2.1}",True
69,2,85,Smart Apparel Us,AXY-42-00069,190.21,106.44,High quality smart apparel us from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Pink"", ""size"": ""M"", ""material"": ""Wood""}",True
70,29,197,Pro Grocery Chair,BXY-42-00070,49.78,25.88,High quality pro grocery chair from NatureDrop.,"{""brand"": ""NatureDrop"", ""organic"": true, ""expiration_days"": 94}",True
71,30,116,Ultra Grocery Less,SSX-42-00071,2.92,1.4,High quality ultra grocery less from TastyBites.,"{""brand"": ""TastyBites"", ""organic"": true, ""expiration_days"": 311}",True
72,17,49,Deluxe Apparel Company,FSX-42-00072,33.4,21.67,High quality deluxe apparel company from ThreadWear.,"{""brand"": ""ThreadWear"", ""color"": ""Green"", ""size"": ""XXL"", ""material"": ""Metal""}",True
73,25,95,Premium Beauty Drug,SCX-42-00073,95.35,57.96,High quality premium beauty drug from GlowUp.,"{""brand"": ""GlowUp"", ""weight_g"": 1388}",True
74,27,21,Pro Toys Ball,AFD-42-00074,15.31,6.74,High quality pro toys ball from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 303}",True
75,18,51,Eco Home My,KAX-42-00075,387.4,175.72,High quality eco home my from KitchenAid.,"{""brand"": ""KitchenAid"", ""material"": ""Metal"", ""weight_kg"": 10.81}",True
76,4,170,Eco Sports Question,SOX-42-00076,262.55,162.25,High quality eco sports question from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Wood"", ""weight_kg"": 20.85}",True
77,4,125,Premium Sports Fast,SOX-42-00077,360.79,159.18,High quality premium sports fast from PeakGear.,"{""brand"": ""PeakGear"", ""material"": ""Glass"", ""weight_kg"": 5.37}",True
78,7,89,Classic Toys Development,TGX-42-00078,101.46,75.14,High quality classic toys development from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 654}",True
79,6,14,Eco Books Citizen,BXY-42-00079,47.47,34.11,High quality eco books citizen from Packt.,"{""brand"": ""Packt"", ""weight_g"": 727}",True
80,8,23,Premium Automotive Culture,AXY-42-00080,8.76,3.78,High quality premium automotive culture from TireSafe.,"{""brand"": ""TireSafe"", ""weight_g"": 355}",True
81,3,194,Premium Home Coach,HKX-42-00081,416.69,272.2,High quality premium home coach from CozyLiving.,"{""brand"": ""CozyLiving"", ""material"": ""Leather"", ""weight_kg"": 11.69}",True
82,10,101,Ultra Office Products High,OPX-42-00082,46.96,20.42,High quality ultra office products high from PaperMate.,"{""brand"": ""PaperMate"", ""weight_g"": 645}",True
83,12,150,Premium Electronics Play,LCX-42-00083,1360.0,746.77,High quality premium electronics play from TechCo.,"{""brand"": ""TechCo"", ""color"": ""Black"", ""weight_kg"": 0.18, ""warranty_years"": 2}",True
84,22,166,Pro Sports Series,ORX-42-00084,89.4,46.95,High quality pro sports series from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Polyester"", ""weight_kg"": 9.63}",True
85,11,84,Pro Electronics Technology,SXY-42-00085,245.39,132.53,High quality pro electronics technology from Volt.,"{""brand"": ""Volt"", ""color"": ""Green"", ""weight_kg"": 5.55, ""warranty_years"": 5}",True
86,26,112,Premium Toys By,BGX-42-00086,81.37,55.24,High quality premium toys by from BrickBuilder.,"{""brand"": ""BrickBuilder"", ""weight_g"": 1475}",True
87,24,7,Premium Beauty Recent,MCX-42-00087,147.33,102.47,High quality premium beauty recent from LuxeHair.,"{""brand"": ""LuxeHair"", ""weight_g"": 1259}",True
88,16,153,Pro Apparel Drug,FXY-42-00088,138.89,64.37,High quality pro apparel drug from ActiveFit.,"{""brand"": ""ActiveFit"", ""color"": ""Navy"", ""size"": ""XS"", ""material"": ""Wool""}",True
89,16,120,Premium Apparel Join,FXY-42-00089,31.46,17.11,High quality premium apparel join from ThreadWear.,"{""brand"": ""ThreadWear"", ""color"": ""Red"", ""size"": ""XXL"", ""material"": ""Plastic""}",True
90,1,139,Eco Electronics Talk,EXY-42-00090,1739.3,1015.21,High quality eco electronics talk from LinkSys.,"{""brand"": ""LinkSys"", ""color"": ""Navy"", ""weight_kg"": 1.87, ""warranty_years"": 3}",True
91,17,122,Pro Apparel Give,FSX-42-00091,140.77,86.77,High quality pro apparel give from Vogue.,"{""brand"": ""Vogue"", ""color"": ""Yellow"", ""size"": ""M"", ""material"": ""Wood""}",True
92,5,199,Smart Beauty Service,BPC-42-00092,124.83,88.91,High quality smart beauty service from GlowUp.,"{""brand"": ""GlowUp"", ""weight_g"": 73}",True
93,21,72,Pro Sports Build,FGX-42-00093,255.26,144.03,High quality pro sports build from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Polyester"", ""weight_kg"": 18.91}",True
94,11,87,Smart Electronics Meet,SXY-42-00094,675.17,335.8,High quality smart electronics meet from Sonyx.,"{""brand"": ""Sonyx"", ""color"": ""Pink"", ""weight_kg"": 5.18, ""warranty_years"": 5}",True
95,27,70,Smart Toys Republican,AFD-42-00095,18.67,10.37,High quality smart toys republican from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 230}",True
96,28,176,Pro Automotive Measure,CCX-42-00096,136.89,60.44,High quality pro automotive measure from AutoPro.,"{""brand"": ""AutoPro"", ""weight_g"": 260}",True
97,13,107,Deluxe Electronics Measure,AHX-42-00097,90.95,53.86,High quality deluxe electronics measure from TechCo.,"{""brand"": ""TechCo"", ""color"": ""Navy"", ""weight_kg"": 7.71, ""warranty_years"": 3}",True
98,29,155,Pro Grocery Develop,BXY-42-00098,28.99,18.24,High quality pro grocery develop from NatureDrop.,"{""brand"": ""NatureDrop"", ""organic"": false, ""expiration_days"": 37}",True
99,27,70,Deluxe Toys Performance,AFD-42-00099,102.87,53.1,High quality deluxe toys performance from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 1395}",True
100,12,139,Eco Electronics Color,LCX-42-00100,916.01,397.64,High quality eco electronics color from Sonyx.,"{""brand"": ""Sonyx"", ""color"": ""Black"", ""weight_kg"": 2.8, ""warranty_years"": 3}",True
101,18,106,Ultra Home Radio,KAX-42-00101,308.5,134.88,High quality ultra home radio from ChefChoice.,"{""brand"": ""ChefChoice"", ""material"": ""Wool"", ""weight_kg"": 20.64}",True
102,24,159,Ultra Beauty These,MCX-42-00102,64.34,31.46,High quality ultra beauty these from SilkSkin.,"{""brand"": ""SilkSkin"", ""weight_g"": 297}",True
103,30,116,Ultra Grocery Item,SSX-42-00103,12.35,8.5,High quality ultra grocery item from NatureDrop.,"{""brand"": ""NatureDrop"", ""organic"": true, ""expiration_days"": 222}",True
104,2,165,Deluxe Apparel Age,AXY-42-00104,169.12,102.5,High quality deluxe apparel age from DenimCo.,"{""brand"": ""DenimCo"", ""color"": ""Yellow"", ""size"": ""XXL"", ""material"": ""Wool""}",True
105,16,9,Pro Apparel Either,FXY-42-00105,110.77,46.19,High quality pro apparel either from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Yellow"", ""size"": ""XL"", ""material"": ""Wool""}",True
106,23,160,Premium Sports Animal,CBX-42-00106,90.96,62.34,High quality premium sports animal from AquaFlow.,"{""brand"": ""AquaFlow"", ""material"": ""Plastic"", ""weight_kg"": 12.85}",True
107,13,107,Deluxe Electronics Care,AHX-42-00107,1959.41,1411.89,High quality deluxe electronics care from Sonyx.,"{""brand"": ""Sonyx"", ""color"": ""Red"", ""weight_kg"": 3.24, ""warranty_years"": 3}",True
108,10,144,Smart Office Products Painting,OPX-42-00108,80.67,36.17,High quality smart office products painting from StapleMax.,"{""brand"": ""StapleMax"", ""weight_g"": 1486}",True
109,18,61,Eco Home Person,KAX-42-00109,573.82,417.41,High quality eco home person from DecoHome.,"{""brand"": ""DecoHome"", ""material"": ""Leather"", ""weight_kg"": 5.64}",True
110,23,91,Ultra Sports College,CBX-42-00110,344.87,249.14,High quality ultra sports college from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Plastic"", ""weight_kg"": 17.9}",True
111,25,57,Eco Beauty Center,SCX-42-00111,86.53,52.26,High quality eco beauty center from LuxeHair.,"{""brand"": ""LuxeHair"", ""weight_g"": 1430}",True
112,24,200,Deluxe Beauty Professional,MCX-42-00112,127.0,63.51,High quality deluxe beauty professional from LuxeHair.,"{""brand"": ""LuxeHair"", ""weight_g"": 76}",True
113,17,27,Eco Apparel Music,FSX-42-00113,14.8,6.67,High quality eco apparel music from ThreadWear.,"{""brand"": ""ThreadWear"", ""color"": ""Gray"", ""size"": ""M"", ""material"": ""Wool""}",True
114,10,101,Deluxe Office Products Among,OPX-42-00114,15.5,6.54,High quality deluxe office products among from StapleMax.,"{""brand"": ""StapleMax"", ""weight_g"": 467}",True
115,25,95,Premium Beauty Vote,SCX-42-00115,9.68,6.63,High quality premium beauty vote from SilkSkin.,"{""brand"": ""SilkSkin"", ""weight_g"": 1375}",True
116,18,79,Deluxe Home Page,KAX-42-00116,201.51,135.92,High quality deluxe home page from CozyLiving.,"{""brand"": ""CozyLiving"", ""material"": ""Cotton"", ""weight_kg"": 23.2}",True
117,13,107,Classic Electronics Choice,AHX-42-00117,1914.27,1419.5,High quality classic electronics choice from LinkSys.,"{""brand"": ""LinkSys"", ""color"": ""Black"", ""weight_kg"": 0.2, ""warranty_years"": 3}",True
118,7,169,Pro Toys Arrive,TGX-42-00118,105.57,74.02,High quality pro toys arrive from BrickBuilder.,"{""brand"": ""BrickBuilder"", ""weight_g"": 1347}",True
119,23,180,Smart Sports Compare,CBX-42-00119,325.58,216.28,High quality smart sports compare from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Leather"", ""weight_kg"": 7.71}",True
120,6,22,Smart Books Evening,BXY-42-00120,21.46,9.89,High quality smart books evening from Penguin.,"{""brand"": ""Penguin"", ""weight_g"": 822}",True
121,2,114,Ultra Apparel Win,AXY-42-00121,63.03,31.04,High quality ultra apparel win from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Red"", ""size"": ""XS"", ""material"": ""Plastic""}",True
122,15,177,Classic Apparel Couple,FXY-42-00122,188.12,77.88,High quality classic apparel couple from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Black"", ""size"": ""XXL"", ""material"": ""Metal""}",True
123,16,153,Eco Apparel Nation,FXY-42-00123,114.53,48.73,High quality eco apparel nation from ActiveFit.,"{""brand"": ""ActiveFit"", ""color"": ""Pink"", ""size"": ""S"", ""material"": ""Wool""}",True
124,17,25,Smart Apparel Into,FSX-42-00124,159.39,72.65,High quality smart apparel into from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Green"", ""size"": ""XS"", ""material"": ""Plastic""}",True
125,8,55,Classic Automotive Place,AXY-42-00125,200.68,103.53,High quality classic automotive place from DriveClean.,"{""brand"": ""DriveClean"", ""weight_g"": 1316}",True
126,17,120,Eco Apparel Organization,FSX-42-00126,199.36,137.22,High quality eco apparel organization from ThreadWear.,"{""brand"": ""ThreadWear"", ""color"": ""White"", ""size"": ""XXL"", ""material"": ""Plastic""}",True
127,15,73,Smart Apparel Public,FXY-42-00127,181.85,111.8,High quality smart apparel public from Vogue.,"{""brand"": ""Vogue"", ""color"": ""Black"", ""size"": ""XXL"", ""material"": ""Plastic""}",True
128,13,174,Classic Electronics After,AHX-42-00128,1596.49,701.95,High quality classic electronics after from LinkSys.,"{""brand"": ""LinkSys"", ""color"": ""Red"", ""weight_kg"": 0.3, ""warranty_years"": 3}",True
129,17,122,Eco Apparel Unit,FSX-42-00129,94.66,39.32,High quality eco apparel unit from Vogue.,"{""brand"": ""Vogue"", ""color"": ""Blue"", ""size"": ""XL"", ""material"": ""Polyester""}",True
130,4,72,Smart Sports Serve,SOX-42-00130,485.96,325.91,High quality smart sports serve from PeakGear.,"{""brand"": ""PeakGear"", ""material"": ""Polyester"", ""weight_kg"": 5.66}",True
131,21,190,Deluxe Sports Should,FGX-42-00131,110.52,70.72,High quality deluxe sports should from PeakGear.,"{""brand"": ""PeakGear"", ""material"": ""Leather"", ""weight_kg"": 13.67}",True
132,23,184,Premium Sports Recently,CBX-42-00132,388.73,243.46,High quality premium sports recently from TrailBlaze.,"{""brand"": ""TrailBlaze"", ""material"": ""Cotton"", ""weight_kg"": 11.75}",True
133,11,8,Deluxe Electronics Term,SXY-42-00133,193.29,80.99,High quality deluxe electronics term from Volt.,"{""brand"": ""Volt"", ""color"": ""Pink"", ""weight_kg"": 0.66, ""warranty_years"": 2}",True
134,30,46,Pro Grocery Federal,SSX-42-00134,21.57,12.03,High quality pro grocery federal from SweetTreats.,"{""brand"": ""SweetTreats"", ""organic"": false, ""expiration_days"": 18}",True
135,13,137,Eco Electronics Your,AHX-42-00135,254.25,102.22,High quality eco electronics your from LinkSys.,"{""brand"": ""LinkSys"", ""color"": ""White"", ""weight_kg"": 6.07, ""warranty_years"": 1}",True
136,23,65,Classic Sports Bed,CBX-42-00136,182.06,104.87,High quality classic sports bed from FitPulse.,"{""brand"": ""FitPulse"", ""material"": ""Polyester"", ""weight_kg"": 7.4}",True
137,30,149,Premium Grocery Direction,SSX-42-00137,20.31,13.97,High quality premium grocery direction from SweetTreats.,"{""brand"": ""SweetTreats"", ""organic"": true, ""expiration_days"": 283}",True
138,8,41,Deluxe Automotive List,AXY-42-00138,225.29,152.94,High quality deluxe automotive list from MotorMax.,"{""brand"": ""MotorMax"", ""weight_g"": 1348}",True
139,5,53,Deluxe Beauty Policy,BPC-42-00139,103.21,74.31,High quality deluxe beauty policy from HerbEssentials.,"{""brand"": ""HerbEssentials"", ""weight_g"": 72}",True
140,18,115,Smart Home Market,KAX-42-00140,125.98,52.23,High quality smart home market from ChefChoice.,"{""brand"": ""ChefChoice"", ""material"": ""Polyester"", ""weight_kg"": 7.96}",True
141,24,159,Pro Beauty Trip,MCX-42-00141,136.01,70.77,High quality pro beauty trip from SilkSkin.,"{""brand"": ""SilkSkin"", ""weight_g"": 379}",True
142,6,58,Premium Books Meet,BXY-42-00142,52.42,25.61,High quality premium books meet from Harper.,"{""brand"": ""Harper"", ""weight_g"": 1424}",True
143,26,169,Smart Toys Conference,BGX-42-00143,103.75,72.42,High quality smart toys conference from KidZone.,"{""brand"": ""KidZone"", ""weight_g"": 1370}",True
144,18,16,Premium Home Discuss,KAX-42-00144,243.16,103.0,High quality premium home discuss from DecoHome.,"{""brand"": ""DecoHome"", ""material"": ""Glass"", ""weight_kg"": 23.81}",True
145,12,84,Classic Electronics Then,LCX-42-00145,1349.17,650.42,High quality classic electronics then from LinkSys.,"{""brand"": ""LinkSys"", ""color"": ""White"", ""weight_kg"": 7.21, ""warranty_years"": 3}",True
146,16,117,Eco Apparel Item,FXY-42-00146,72.39,45.66,High quality eco apparel item from UrbanStyle.,"{""brand"": ""UrbanStyle"", ""color"": ""Silver"", ""size"": ""XL"", ""material"": ""Plastic""}",True
147,26,96,Classic Toys Plant,BGX-42-00147,115.45,52.99,High quality classic toys plant from BrickBuilder.,"{""brand"": ""BrickBuilder"", ""weight_g"": 503}",True
